Anomalia: ['4.00', '-0.16', '-0.19', '1.00']
['4.00', '-0.16', '-0.19', '1.00']
Anomalia: ['4.50', '-0.05', '-0.24', '1.00']
['4.50', '-0.05', '-0.24', '1.00']
Anomalia: ['5.00', '0.07', '-0.24', '1.00']
['5.00', '0.07', '-0.24', '1.00']
Anomalia: ['5.50', '0.18', '-0.18', '1.00']
['5.50', '0.18', '-0.18', '1.00']
Anomalia: ['6.00', '0.24', '-0.07', '1.00']
['6.00', '0.24', '-0.07', '1.00']
Anomalia: ['6.50', '0.24', '0.05', '1.00']
['6.50', '0.24', '0.05', '1.00']
Anomalia: ['7.00', '0.19', '0.16', '1.00']
['7.00', '0.19', '0.16', '1.00']
Anomalia: ['7.50', '0.09', '0.23', '1.00']
['7.50', '0.09', '0.23', '1.00']
Anomalia: ['8.00', '-0.04', '0.25', '1.00']
['8.00', '-0.04', '0.25', '1.00']
Anomalia: ['8.50', '-0.15', '0.20', '1.00']
['8.50', '-0.15', '0.20', '1.00']
Anomalia: ['9.00', '-0.23', '0.10', '1.00']
['9.00', '-0.23', '0.10', '1.00']
Anomalia: ['9.50', '-0.25', '-0.02', '1.00']
['9.50', '-0.25', '-0.02', '1.00']
Anomalia: ['10.00', '-0.21', '-0.14', '1.00']
['10.00', '-0.21', '-0.14', '1.00']
Anomalia: ['10.50', '-0.12', '-0.22', '1.00']
['10.50', '-0.12', '-0.22', '1.00']
Anomalia: ['11.00', '0.00', '-0.25', '1.00']
['11.00', '0.00', '-0.25', '1.00']
['11.50', '0.12', '-0.22', '1.00']
Anomalia: ['12.00', '0.21', '-0.13', '1.00']
['12.00', '0.21', '-0.13', '1.00']
Anomalia: ['12.50', '0.25', '-0.02', '1.00']
['12.50', '0.25', '-0.02', '1.00']
Anomalia: ['13.00', '0.23', '0.11', '1.00']
['13.00', '0.23', '0.11', '1.00']
Anomalia: ['13.50', '0.15', '0.20', '1.00']
['13.50', '0.15', '0.20', '1.00']
Anomalia: ['14.00', '0.03', '0.25', '1.00']
['14.00', '0.03', '0.25', '1.00']
['14.50', '-0.09', '0.23', '1.00']
Anomalia: ['15.00', '-0.19', '0.16', '1.00']
['15.00', '-0.19', '0.16', '1.00']
Anomalia: ['15.50', '-0.24', '0.05', '1.00']
['15.50', '-0.24', '0.05', '1.00']
Anomalia: ['16.00', '-0.24', '-0.07', '1.00']
['16.00', '-0.24', '-0.07', '1.00']
Anomalia: ['16.50', '-0.18', '-0.18', '1.00']
['16.50', '-0.18', '-0.18', '1.00']
Anomalia: ['17.00', '-0.07', '-0.24', '1.00']
['17.00', '-0.07', '-0.24', '1.00']
Anomalia: ['17.50', '0.05', '-0.24', '1.00']
['17.50', '0.05', '-0.24', '1.00']
['18.00', '0.17', '-0.19', '1.00']
Anomalia: ['18.50', '0.23', '-0.09', '1.00']
['18.50', '0.23', '-0.09', '1.00']
Anomalia: ['19.00', '0.25', '0.04', '1.00']
['19.00', '0.25', '0.04', '1.00']
Anomalia: ['19.50', '0.20', '0.15', '1.00']
['19.50', '0.20', '0.15', '1.00']
Anomalia: ['20.00', '0.10', '0.23', '1.00']
['20.00', '0.10', '0.23', '1.00']
Anomalia: ['20.50', '-0.02', '0.25', '1.00']
['20.50', '-0.02', '0.25', '1.00']
['21.00', '-0.14', '0.21', '1.00']
Anomalia: ['21.50', '-0.22', '0.12', '1.00']
['21.50', '-0.22', '0.12', '1.00']
Anomalia: ['22.00', '-0.25', '-0.00', '1.00']
['22.00', '-0.25', '-0.00', '1.00']
Anomalia: ['22.50', '-0.22', '-0.12', '1.00']
['22.50', '-0.22', '-0.12', '1.00']
Anomalia: ['23.00', '-0.13', '-0.21', '1.00']
['23.00', '-0.13', '-0.21', '1.00']
Anomalia: ['23.50', '-0.02', '-0.25', '1.00']
['23.50', '-0.02', '-0.25', '1.00']
Anomalia: ['24.00', '0.11', '-0.23', '1.00']
['24.00', '0.11', '-0.23', '1.00']
Anomalia: ['24.50', '0.20', '-0.15', '1.00']
['24.50', '0.20', '-0.15', '1.00']
Anomalia: ['25.00', '0.25', '-0.03', '1.00']
['25.00', '0.25', '-0.03', '1.00']
Anomalia: ['25.50', '0.23', '0.09', '1.00']
['25.50', '0.23', '0.09', '1.00']
Anomalia: ['26.00', '0.16', '0.19', '1.00']
['26.00', '0.16', '0.19', '1.00']
Anomalia: ['26.50', '0.05', '0.24', '1.00']
['26.50', '0.05', '0.24', '1.00']
Anomalia: ['27.00', '-0.07', '0.24', '1.00']
['27.00', '-0.07', '0.24', '1.00']
Anomalia: ['27.50', '-0.18', '0.17', '1.00']
['27.50', '-0.18', '0.17', '1.00']
Anomalia: ['28.00', '-0.24', '0.07', '1.00']
['28.00', '-0.24', '0.07', '1.00']
Anomalia: ['28.50', '-0.24', '-0.06', '1.00']
['28.50', '-0.24', '-0.06', '1.00']
Anomalia: ['29.00', '-0.19', '-0.17', '1.00']
['29.00', '-0.19', '-0.17', '1.00']
Anomalia: ['29.50', '-0.08', '-0.24', '1.00']
['29.50', '-0.08', '-0.24', '1.00']
Anomalia: ['30.00', '0.04', '-0.25', '1.00']
['30.00', '0.04', '-0.25', '1.00']
Anomalia: ['30.50', '0.15', '-0.20', '1.00']
['30.50', '0.15', '-0.20', '1.00']
Anomalia: ['31.00', '0.23', '-0.10', '1.00']
['31.00', '0.23', '-0.10', '1.00']
Anomalia: ['31.50', '0.25', '0.02', '1.00']
['31.50', '0.25', '0.02', '1.00']
Anomalia: ['32.00', '0.21', '0.14', '1.00']
['32.00', '0.21', '0.14', '1.00']
Anomalia: ['32.50', '0.12', '0.22', '1.00']
['32.50', '0.12', '0.22', '1.00']
Anomalia: ['33.00', '-0.00', '0.25', '1.00']
['33.00', '-0.00', '0.25', '1.00']
['33.50', '-0.12', '0.22', '1.00']
Anomalia: ['34.00', '-0.21', '0.13', '1.00']
['34.00', '-0.21', '0.13', '1.00']
Anomalia: ['34.50', '-0.25', '0.01', '1.00']
['34.50', '-0.25', '0.01', '1.00']
Anomalia: ['35.00', '-0.23', '-0.11', '1.00']
['35.00', '-0.23', '-0.11', '1.00']
Anomalia: ['35.50', '-0.15', '-0.20', '1.00']
['35.50', '-0.15', '-0.20', '1.00']
Anomalia: ['36.00', '-0.03', '-0.25', '1.00']
['36.00', '-0.03', '-0.25', '1.00']
['36.50', '0.09', '-0.23', '1.00']
Anomalia: ['37.00', '0.19', '-0.16', '1.00']
['37.00', '0.19', '-0.16', '1.00']
Anomalia: ['37.50', '0.25', '-0.05', '1.00']
['37.50', '0.25', '-0.05', '1.00']
Anomalia: ['38.00', '0.24', '0.07', '1.00']
['38.00', '0.24', '0.07', '1.00']
Anomalia: ['38.50', '0.17', '0.18', '1.00']
['38.50', '0.17', '0.18', '1.00']
